run_id,episodes,mean_reward_100,total_episodes,learning_rate,gamma,net_arch,max_grad_norm
0,3956,20.4165,3956,0.0005,0.95,"[128, 128]",5.0
1,3703,11.8414,3703,0.0005,0.99,"[200, 200, 200]",10.0
2,3620,20.9425,3620,0.0003,0.9,"[128, 128]",5.0
3,3582,15.354,3582,0.0005,0.95,"[256, 256]",1.0
4,3507,28.1544,3507,0.0003,0.9,"[256, 256]",10.0
5,5835,13.3784,5835,0.0001,0.99,"[128, 128]",5.0
6,3718,30.8512,3718,0.0005,0.99,"[256, 256]",1.0
7,4561,8.7493,4561,0.0005,0.99,"[200, 200, 200]",1.0
8,5178,31.1221,5178,0.0001,0.9,"[256, 256]",1.0
9,3224,26.3755,3224,0.001,0.95,"[128, 128]",10.0
